"MUN_CODIGO";"MUN_NOME";"UF_SIGLA";"ID_IBGE";"POPULACAO";"TERRITORIO";"GRUPO_POPULACAO";"CODIGO_DO_IBGE";"GENTILICO";"DENSIDADE_DEMOGRAFICA";"SERIE_REVISADA";"MUN_NOME_ORIGINAL";"COMPATIBILIDADE_RF";"CODIGO_DA_RF_01";"CODIGO_DA_RF_02";"CODIGO_MUNICIPIO_REGIAO"
"510010";"ACORIZAL";"MT";"344";"5399";"846,36";"2";"5100102";"ACORIZANO";"6.3";"39790";"ACORIZAL";"";"90018";"130100";"7"
"510020";"AGUA BOA";"MT";"345";"25721";"7510,61";"4";"5100201";"AGUA-BOENSE";"3.1";"553164";"ÁGUA BOA";"";"91910";"130103";"2"
"510025";"ALTA FLORESTA";"MT";"346";"51782";"8976,31";"4";"5100250";"ALTA-FLORESTENSE";"5.6";"783132";"ALTA FLORESTA";"";"89877";"130106";"10"
"510030";"ALTO ARAGUAIA";"MT";"347";"19044";"5514,51";"3";"5100300";"ARAGUAIANO";"3.2";"697331";"ALTO ARAGUAIA";"";"90050";"130101";"3"
"510035";"ALTO BOA VISTA";"MT";"348";"6822";"2240,45";"2";"5100359";"ALTO BOA VISTENSE";"2.7";"56101";"ALTO BOA VISTA";"";"1279";"130103";"1"
"510040";"ALTO GARCAS";"MT";"349";"12030";"3748,05";"3";"5100409";"ALTO-GARCENSE";"3";"402506";"ALTO GARÇAS";"";"90077";"130101";"3"
"510050";"ALTO PARAGUAI";"MT";"350";"11356";"1846,3";"3";"5100508";"ALTO-PARAGUAIENSE";"5.8";"69533";"ALTO PARAGUAI";"";"90093";"130105";"8"
"510060";"ALTO TAQUARI";"MT";"351";"10847";"1416,52";"2";"5100607";"TAQUARIENSE";"6.8";"663312";"ALTO TAQUARI";"";"99112";"130101";"3"
"510080";"APIACAS";"MT";"352";"10133";"20377,5";"2";"5100805";"APIACAENSE";"0.5";"98233";"APIACÁS";"";"97730";"130106";"10"
"510100";"ARAGUAIANA";"MT";"353";"3100";"6429,39";"1";"5101001";"ARAGUAIANENSE";"0.5";"47693";"ARAGUAIANA";"";"98698";"130103";"3"
"510120";"ARAGUAINHA";"MT";"354";"935";"687,97";"1";"5101209";"ARAGUAINHENSE";"1.4";"13183";"ARAGUAINHA";"";"90239";"130101";"3"
"510125";"ARAPUTANGA";"MT";"355";"16822";"1600,24";"3";"5101258";"ARAPUTANGUENSE";"10";"265932";"ARAPUTANGA";"";"89893";"130109";"4"
"510130";"ARENAPOLIS";"MT";"356";"9607";"416,79";"3";"5101308";"ARENAPOLITANO";"23.3";"115282";"ARENÁPOLIS";"";"90255";"130105";"7"
"510140";"ARIPUANA";"MT";"357";"22354";"25107,97";"3";"5101407";"ARIPUANENSE";"0.8";"357956";"ARIPUANÃ";"";"90271";"130106";"6"
"510160";"BARAO DE MELGACO";"MT";"358";"8564";"11174,5";"2";"5101605";"MELGACIANO";"0.7";"61656";"BARÃO DE MELGAÇO";"";"90310";"130100";"7"
"510170";"BARRA DO BUGRES";"MT";"359";"34966";"6060,18";"4";"5101704";"BARRENSE";"5.6";"926715";"BARRA DO BUGRES";"";"90336";"130110";"7"
"510180";"BARRA DO GARCAS";"MT";"360";"61012";"9078,98";"5";"5101803";"BARRA-GARCENSE";"6.4";"1078400";"BARRA DO GARÇAS";"";"90352";"130103";"3"
"510185";"BOM JESUS DO ARAGUAIA";"MT";"361";"6580";"4274,21";"2";"5101852";"BOM-JESUENSE";"1.4";"167571";"BOM JESUS DO ARAGUAIA";"";"10782";"130103";"1"
"510190";"BRASNORTE";"MT";"362";"19695";"15959,14";"3";"5101902";"BRASNORTENSE";"1.1";"538690";"BRASNORTE";"";"98736";"130110";"6"
"510250";"CACERES";"MT";"363";"94376";"24577,11";"5";"5102504";"CACERENSE";"3.7";"1065758";"CÁCERES";"";"90476";"130151";"12"
"510260";"CAMPINAPOLIS";"MT";"364";"15980";"5967,36";"3";"5102603";"CAMPINAPOLENSE";"2.5";"146450";"CAMPINÁPOLIS";"";"98639";"130103";"2"
"510263";"CAMPO NOVO DO PARECIS";"MT";"365";"35360";"9434,36";"4";"5102637";"CAMPO-NOVENSE";"3.4";"1730043";"CAMPO NOVO DO PARECIS";"";"97772";"130110";"6"
"510267";"CAMPO VERDE";"MT";"366";"44041";"4782,12";"4";"5102678";"CAMPO-VERDENSE";"7.9";"1460125";"CAMPO VERDE";"";"97799";"130100";"5"
"510268";"CAMPOS DE JULIO";"MT";"367";"6891";"6801,86";"2";"5102686";"CAMPO JULIENSE";"0.9";"765962";"CAMPOS DE JÚLIO";"";"10324";"130109";"12"
"510269";"CANABRAVA DO NORTE";"MT";"368";"4743";"3452,68";"1";"5102694";"CANABRAVENSE";"1.4";"77133";"CANABRAVA DO NORTE";"";"1295";"130103";"1"
"510270";"CANARANA";"MT";"369";"21579";"10882,4";"3";"5102702";"CANARANENSE";"1.9";"634143";"CANARANA";"";"91936";"130103";"2"
"510279";"CARLINDA";"MT";"370";"10305";"2393,03";"3";"5102793";"CARLINDENSE";"4.3";"97301";"CARLINDA";"";"10340";"130106";"10"
"510285";"CASTANHEIRA";"MT";"371";"8729";"3909,54";"2";"5102850";"CASTANHEIRENSE";"2.1";"91200";"CASTANHEIRA";"";"97837";"130106";"6"
"510300";"CHAPADA DOS GUIMARAES";"MT";"372";"19752";"6489,15";"3";"5103007";"CHAPADENSE";"2.9";"257127";"CHAPADA DOS GUIMARÃES";"";"90590";"130100";"7"
"510305";"CLAUDIA";"MT";"373";"12149";"3849,99";"3";"5103056";"CLAUDIENSE";"3";"226971";"CLÁUDIA";"";"97896";"130107";"11"
"510310";"COCALINHO";"MT";"374";"5700";"16530,66";"2";"5103106";"COCALINHENSE";"0.3";"90780";"COCALINHO";"";"98655";"130103";"2"
"510320";"COLIDER";"MT";"375";"33438";"3093,17";"4";"5103205";"COLIDENSE";"10.3";"536487";"COLÍDER";"";"89796";"130107";"10"
"510325";"COLNIZA";"MT";"376";"38582";"27946,11";"4";"5103254";"COLNIZENSE";"1.2";"269081";"COLNIZA";"";"10804";"130106";"6"
"510330";"COMODORO";"MT";"377";"20763";"21769,63";"3";"5103304";"COMODORENSE";"0.9";"334117";"COMODORO";"";"98833";"130151";"12"
"510335";"CONFRESA";"MT";"378";"30933";"5801,95";"4";"5103353";"CONFRESENSE";"4.9";"303525";"CONFRESA";"";"1317";"130103";"1"
"510336";"CONQUISTA DOESTE";"MT";"379";"4038";"2672,21";"1";"5103361";"CONQUISTENSE D?OESTE";"1.4";"46499";"CONQUISTA D`OESTE";"";"10820";"130109";"12"
"510337";"COTRIGUACU";"MT";"380";"19750";"9421,1";"3";"5103379";"COTRIGUACUENSES";"1.9";"135109";"COTRIGUAÇU";"";"892";"130106";"6"
"510340";"CUIABA";"MT";"381";"612547";"3291,81";"5";"5103403";"CUIABANO (PAPA PEIXE)";"176.3";"14694351";"CUIABÁ";"";"90670";"130100";"7"
"510343";"CURVELANDIA";"MT";"382";"5219";"359,76";"1";"5103437";"CURVELANDENSES";"13.9";"63278";"CURVELÂNDIA";"";"10847";"130109";"4"
"510345";"DENISE";"MT";"383";"9462";"1307,19";"2";"5103452";"DENISIENSE";"6.9";"376148";"DENISE";"";"98337";"130110";"7"
"510350";"DIAMANTINO";"MT";"384";"22041";"8230,1";"4";"5103502";"DIAMANTINENSE";"2.6";"1288269";"DIAMANTINO";"";"90697";"130105";"8"
"510360";"DOM AQUINO";"MT";"385";"8178";"2204,16";"2";"5103601";"DOM-AQUINENSE";"3.6";"279263";"DOM AQUINO";"";"90719";"130102";"5"
"510370";"FELIZ NATAL";"MT";"386";"14192";"11462,46";"3";"5103700";"FELIZ-NATALENSES";"1.1";"237357";"FELIZ NATAL";"";"10367";"130107";"9"
"510380";"FIGUEIROPOLIS DOESTE";"MT";"387";"3494";"899,25";"1";"5103809";"FIGUEIROPOLENSE";"3.9";"44554";"FIGUEIRÓPOLIS D`OESTE";"";"98817";"130109";"4"
"510385";"GAUCHA DO NORTE";"MT";"388";"7648";"16930,67";"2";"5103858";"GAUCHENSES-DO-NORTE";"0.4";"233994";"GAÚCHA DO NORTE";"";"10383";"130100";"2"
"510390";"GENERAL CARNEIRO";"MT";"389";"5540";"3794,94";"2";"5103908";"GENERAL-CARNEIRENSE";"1.4";"157435";"GENERAL CARNEIRO";"";"90778";"130103";"3"
"510395";"GLORIA DOESTE";"MT";"390";"3026";"853,84";"1";"5103957";"GLORIENSES-DO-OESTE";"3.5";"50176";"GLÓRIA D`OESTE";"";"1350";"130109";"12"
"510410";"GUARANTA DO NORTE";"MT";"391";"35816";"4734,75";"4";"5104104";"GUARANTANHENSE";"7.2";"428041";"GUARANTÃ DO NORTE";"";"98876";"130107";"11"
"510420";"GUIRATINGA";"MT";"392";"15141";"5061,69";"3";"5104203";"GUIRATINGUENSE";"2.9";"239753";"GUIRATINGA";"";"90832";"130102";"5"
"510450";"INDIAVAI";"MT";"393";"2752";"603,29";"1";"5104500";"INDIAVAIENSE";"4.2";"29777";"INDIAVAÍ";"";"98779";"130109";"4"
"510455";"ITAUBA";"MT";"396";"3802";"4529,58";"1";"5104559";"ITAUBENSE";"0.9";"94243";"ITAÚBA";"";"99015";"130107";"11"
"510460";"ITIQUIRA";"MT";"397";"13345";"8722,48";"3";"5104609";"ITIQUIRENSE";"1.4";"918689";"ITIQUIRA";"";"90913";"130102";"3"
"510480";"JACIARA";"MT";"398";"27776";"1676,97";"4";"5104807";"JACIARENSE";"15.7";"610515";"JACIARA";"";"90956";"130102";"5"
"510490";"JANGADA";"MT";"399";"8409";"1018,49";"2";"5104906";"JANGADENSE";"7.8";"207921";"JANGADA";"";"98612";"130100";"7"
"510500";"JAURU";"MT";"400";"8793";"1301,89";"3";"5105002";"JAURUENSE";"7.1";"132866";"JAURU";"";"89915";"130109";"4"
"510510";"JUARA";"MT";"401";"34974";"22641,19";"4";"5105101";"JUARENSE";"1.5";"491186";"JUARA";"";"98191";"130107";"9"
"510515";"JUINA";"MT";"402";"40997";"26189,91";"4";"5105150";"JUINENSE";"1.5";"570842";"JUÍNA";"";"98310";"130110";"6"
"510517";"JURUENA";"MT";"403";"15865";"2778,96";"3";"5105176";"JURUENENSE";"5";"122667";"JURUENA";"";"99210";"130106";"6"
"510520";"JUSCIMEIRA";"MT";"404";"11221";"2268,11";"3";"5105200";"JUSCIMEIRENSE";"4.9";"206800";"JUSCIMEIRA";"";"91898";"130102";"5"
"510523";"LAMBARI DOESTE";"MT";"405";"6121";"1763,89";"2";"5105234";"LAMBARIENSES";"3.3";"154760";"LAMBARI D`OESTE";"";"1376";"130109";"4"
"510525";"LUCAS DO RIO VERDE";"MT";"406";"65534";"3663,99";"4";"5105259";"LUQUENSE";"15.6";"2107422";"LUCAS DO RIO VERDE";"";"99252";"130107";"9"
"510530";"LUCIARA";"MT";"407";"2077";"4243,04";"1";"5105309";"LUCIARENSE";"0.5";"18839";"LUCIÁRA";"";"91057";"130103";"1"
"510550";"VILA BELA DA SANTISSIMA TRINDADE";"MT";"484";"16128";"13420,63";"3";"5105507";"VILA-BELENSE";"1.1";"298511";"VILA BELA DA SANTÍSSIMA TRINDADE";"";"91090";"130151";"12"
"510558";"MARCELANDIA";"MT";"408";"10499";"12281,25";"3";"5105580";"MARCELANDENSE";"0.9";"173573";"MARCELÂNDIA";"";"98990";"130107";"11"
"510560";"MATUPA";"MT";"409";"16566";"5239,67";"3";"5105606";"MATUPAENSE";"2.9";"315948";"MATUPÁ";"";"99295";"130107";"11"
"510562";"MIRASSOL DOESTE";"MT";"410";"27739";"1076,36";"4";"5105622";"MIRADOLENSE";"24.5";"448105";"MIRASSOL D`OESTE";"";"91774";"130109";"4"
"510590";"NOBRES";"MT";"411";"15336";"3904,42";"3";"5105903";"NOBRENSE";"3.8";"410310";"NOBRES";"";"91170";"130105";"8"
"510600";"NORTELANDIA";"MT";"412";"5989";"1348,88";"2";"5106000";"NORTELANDENSE";"4.5";"82478";"NORTELÂNDIA";"";"91197";"130105";"8"
