,MUN_CODIGO,Nome da Microregião,MUN_NOME,GENTILICO,ENT_CODIGO,ENT_NOME
0,510125,Jauru,ARAPUTANGA,ARAPUTANGUENSE,1121375,PREFEITURA MUNICIPAL DE ARAPUTANGA
1,510380,Jauru,FIGUEIROPOLIS DOESTE,FIGUEIROPOLENSE,1128727,PREFEITURA MUNICIPAL DE FIGUEIROPOLIS DOESTE
2,510395,Jauru,GLORIA DOESTE,GLORIENSES-DO-OESTE,1126127,PREFEITURA MUNICIPAL DE GLORIA DOESTE
3,510450,Jauru,INDIAVAI,INDIAVAIENSE,1125004,PREFEITURA MUNICIPAL DE INDIAVAI
4,510500,Jauru,JAURU,JAURUENSE,1111418,PREFEITURA MUNICIPAL DE JAURU
5,510523,Jauru,LAMBARI DOESTE,LAMBARIENSES,1127323,PREFEITURA MUNICIPAL DE LAMBARI DOESTE
6,510562,Jauru,MIRASSOL DOESTE,MIRADOLENSE,1113521,PREFEITURA MUNICIPAL DE MIRASSOL DOESTE
7,510682,Jauru,PORTO ESPERIDIAO,PORTENSE,1125152,PREFEITURA MUNICIPAL DE PORTO ESPERIDIAO
8,510710,Jauru,SAO JOSE DOS QUATRO MARCOS,QUATRO-MARQUENSE,1119528,PREFEITURA MUNICIPAL DE SAO JOSE DOS QUATRO MARCOS
9,510715,Jauru,RESERVA DO CABACAL,RESERVENSE,1125145,PREFEITURA MUNICIPAL DE RESERVA DO CABACAL
10,510720,Jauru,RIO BRANCO,RIO-BRANQUENSE,1116581,PREFEITURA MUNICIPAL DE RIO BRANCO
11,510775,Jauru,SALTO DO CEU,SALTENSE,1122134,PREFEITURA MUNICIPAL DE SALTO DO CEU
